cover_image_url,created_at,description,ends_at,format,id,is_18_plus,latitude,longitude,name,price_max_zar,price_min_zar,recurring_month,slug,starts_at,ticket_url,ticketing_platform,venue_name,website_url,wo_appellation_id
,2026-08-02T11:20:44.100421+00:00,Southernmost wine festival,,grand-tasting,2898886b-d48c-4dd2-8b3b-5724a25382a3,True,,,Agulhas Festival,,250.0,4,ev-agulhas,,,Quicket,"Lomond, Gansbaai",,
,2026-08-02T11:20:47.806724+00:00,Breedekloof winter,,open-cellars,10f7d77e-b4f2-4f05-83ba-65322c9a76ea,True,,,Annerkant die Berg,,200.0,7,ev-annerkant,,,Computicket,Rawsonville,,
,2026-08-02T11:20:49.199061+00:00,Coastal MCC festival,,grand-tasting,864f561a-70ad-48c5-95db-b374a99b6e0a,True,,,Blomme Bubbles,,450.0,9,ev-blomme,,,Howler,Paternoster,,
,2026-08-02T11:20:42.866446+00:00,Bot River producers,,grand-tasting,f23249aa-cf64-4b75-b906-0db1681e15e3,True,,,BOTFEST,,800.0,3,ev-botfest,,,Quicket,"Gabrielskloof, Bot River",,
,2026-08-02T11:20:45.306451+00:00,Port-style wines,,open-cellars,b7597323-fdb9-4146-ab21-df7a15a53d74,True,,,Calitzdorp Expressed,,200.0,6,ev-calitzdorp,,,Quicket,Calitzdorp,,
,2026-08-02T11:20:48.888314+00:00,Five MCC producers,,hop-between,53eecb5c-0be7-4447-905a-6f01dbe522b2,True,,,Cap Classique Safari,,750.0,8,ev-cc-safari,,,,Franschhoek,,
,2026-08-02T11:20:51.664244+00:00,MCC Champagne,,grand-tasting,eabce0f3-c7bb-4913-83b2-fee352dcf599,True,,,Cap Classique Sunday,,450.0,11,ev-cc-sunday,,,Webtickets,Franschhoek,,
,2026-08-02T11:20:41.887722+00:00,Charity auction,,trade-show,e63b2805-d672-4f8b-8db9-58f8b366da1e,True,,,Cape Wine Auction,,1500.0,2,ev-cape-auction,,,Direct,"Nederburg, Paarl",,
,2026-08-02T11:20:45.615357+00:00,Chenin Association flagship,,grand-tasting,48c4a33c-770e-4545-bbbd-4db5117ae983,True,,,Chenin Blanc Festival,,450.0,6,ev-chenin-fest,,,,Cavalli,,
,2026-08-02T11:20:49.821313+00:00,Sauvignon Blanc festival,,grand-tasting,97641620-7168-44d6-aad4-b476d2bdd910,True,,,Constantia Fresh,,350.0,9,ev-constantia,,,,Groot Constantia,,
,2026-08-02T11:20:51.051886+00:00,Premium auction,,trade-show,7cff51b2-2019-4a8e-92d4-0be6d76d6249,True,,,CWG Auction,,,10,ev-cwg,,,Direct,Virtual,,
,2026-08-02T11:20:43.794429+00:00,Elgin producers,,grand-tasting,ca287744-7a92-43d6-97f6-ecdb90cc2d17,True,,,Elgin Railway Wine,,280.0,4,ev-elgin,,,Webtickets,Elgin Railway Market,,
,2026-08-02T11:20:05.925229+00:00,French winter celebration,,grand-tasting,65a641c8-eae4-47fc-8939-a5c1b025bc5b,True,,,Franschhoek Bastille,,400.0,7,bastille,,,Webtickets,Franschhoek,,
,2026-08-02T11:20:46.84178+00:00,French winter,,grand-tasting,8ac57e42-bac3-455b-ae84-ef96ce63708e,True,,,Franschhoek Bastille,,400.0,7,ev-bastille,,,Webtickets,Franschhoek,,
