acidity_profile,aliases,body_profile,character,color,created_at,id,is_signature,name,origin,sa_plantings_ha,slug,tannin_profile,type,typical_aromas
,[],,,red,2026-08-02T13:12:32.521832+00:00,305c25d8-5f67-4b77-8e87-116905021648,False,Barbera,Italy,,barbera,,red,[]
,[],,Cabernet or Merlot-led blends,,2026-08-02T09:49:17.39591+00:00,fbf47456-c76c-4f39-880c-3bc843e3c56c,False,Bordeaux Blend,,,bordeaux-blend,,red,"[""cassis"", ""cedar"", ""blackberry"", ""mint"", ""tobacco"", ""vanilla""]"
,[],,World most planted noble red,,2026-08-02T09:49:17.39591+00:00,0c99c837-a814-4af4-8a32-8cca043476b6,True,Cabernet Sauvignon,,,cabernet-sauvignon,,red,"[""cassis"", ""cedar"", ""blackberry"", ""eucalyptus"", ""mint"", ""tobacco"", ""vanilla""]"
,[],,,red,2026-08-02T13:12:32.521832+00:00,f22f0367-82d1-4198-be9c-024a2a4dde3e,False,Carignan,Spain,,carignan,,red,[]
,[],,Hemel-en-Aarde world-class,,2026-08-02T09:49:17.39591+00:00,e3f91ff7-f29f-4cab-b216-ee9822b9016c,True,Chardonnay,,,chardonnay,,white,"[""lemon"", ""peach"", ""butter"", ""vanilla"", ""brioche"", ""hazelnut""]"
,"[""Steen""]",,SA most planted grape,,2026-08-02T09:49:17.39591+00:00,ed732368-02fb-48f6-9f4b-69296bf2e96f,True,Chenin Blanc,,,chenin-blanc,,white,"[""apple"", ""quince"", ""honey"", ""lemon"", ""apricot""]"
,"[""Cinsault""]",,Parent of Pinotage,,2026-08-02T09:49:17.39591+00:00,c94f24cb-0171-4b73-b98c-bbe914de51c2,False,Cinsaut,,,cinsaut,,red,"[""strawberry"", ""rose"", ""white-pepper""]"
,"[""Colombard""]",,Value whites and brandy,,2026-08-02T09:49:17.39591+00:00,d2087141-ddd3-4a98-b270-3da888bd3cd1,False,Colombard,,,colombard,,white,"[""lemon"", ""cut-grass""]"
,[],,,white,2026-08-02T13:12:32.521832+00:00,7081bdb1-0864-4439-b8cd-88235061c0ce,False,Gewürztraminer,Germany,,gewurztraminer,,white,[]
,"[""Garnacha""]",,Swartland Rhone movement,,2026-08-02T09:49:17.39591+00:00,c6f64e68-59db-4c54-b052-e141be299929,False,Grenache,,,grenache,,red,"[""strawberry"", ""red-raspberry"", ""white-pepper"", ""thyme"", ""licorice""]"
,[],,,white,2026-08-02T13:12:32.521832+00:00,f6a9bccb-7448-4c05-872b-40d179ba90f8,False,Hanepoot (Muscat d'Alexandrie),Egypt/SA,,hanepoot,,white,[]
,[],,"Deeply coloured, plush",,2026-08-02T09:49:17.39591+00:00,28ef4718-95ba-4629-a249-3314c7a8d589,False,Malbec,,,malbec,,red,"[""cherry-black"", ""blackberry"", ""violet"", ""licorice"", ""chocolate-dark"", ""tobacco""]"
,[],,,white,2026-08-02T13:12:32.521832+00:00,dcacf916-7052-4e9b-bb4d-4631a2dc50a0,False,Marsanne,France,,marsanne,,white,[]
,[],,SA traditional-method sparkling,,2026-08-02T09:49:17.39591+00:00,d0e6b74b-ba09-4e29-aaa6-c7ab9e0019cd,True,MCC (Méthode Cap Classique),,,mcc,,sparkling,"[""brioche"", ""lemon"", ""apple"", ""almond"", ""biscuit""]"
,[],,Bordeaux partner,,2026-08-02T09:49:17.39591+00:00,3f28a435-416c-4cd8-b68e-c65f7dab244d,False,Merlot,,,merlot,,red,"[""cherry-black"", ""blackberry"", ""chocolate-dark"", ""vanilla"", ""hay"", ""tobacco""]"
